id,ma,ten,mo_ta,thu_tu,active,created_at,updated_at,parent_id,merged_into,deactivated_at
075d84d6-5e31-4b37-831d-aa89a9f72933,VT_DP_DA_NANG,Đà Nẵng,,1,t,2026-07-12 05:24:31.091271+00,2026-07-13 03:49:03.35848+00,,,
03818fa3-ee05-4dfe-92f0-b6f752b0b97a,VT_PBA_PHONG_THIET_BI,Phòng thiết bị PBA,Đơn vị PBA,26,t,2026-07-11 09:50:09.894644+00,2026-07-13 04:27:56.75596+00,f2fc02ce-e02e-4841-b1ca-76109939c834,,
5f93c2d7-9b77-4f40-bc2f-17b835588de6,VT_BDKT_KTKT_TRAM_GIUA,Trạm khí tượng giữa Optimet,Đơn vị BDKT-KTKT,33,t,2026-07-11 09:50:09.894644+00,2026-07-13 06:30:35.081585+00,075d84d6-5e31-4b37-831d-aa89a9f72933,,
3f302563-bdbb-443d-911f-b0058e38db42,VT_BDKT_KTKT_TRAM_35,Trạm khí tượng 35 Optimet,Đơn vị BDKT-KTKT,34,t,2026-07-11 09:50:09.894644+00,2026-07-13 06:30:39.404176+00,075d84d6-5e31-4b37-831d-aa89a9f72933,,
7edb2f00-60da-46ad-8aed-873d4708393d,VT_BDKT_KTKT_TRAM_17,Trạm Khí tượng 17 Optimet,Đơn vị BDKT-KTKT,36,t,2026-07-11 09:50:09.894644+00,2026-07-13 06:30:43.095628+00,075d84d6-5e31-4b37-831d-aa89a9f72933,,
d931a59e-31bb-4f93-b02f-af55660faf0e,TRAM_TRAN_MAY_17,Trạm trần mây 17 Optimet,,0,t,2026-07-13 06:31:12.634884+00,2026-07-13 06:31:19.802736+00,075d84d6-5e31-4b37-831d-aa89a9f72933,,
f099f53a-5ef4-4039-ba41-1ea298f0ae5d,TRAM_KHI_TUONG_32,Trạm khí tượng 32 IMS,,47,t,2026-07-11 07:09:10.805075+00,2026-07-13 06:52:31.054229+00,e09ea1ad-7105-48b0-a310-ee6d46d4f484,,
38e5eeb4-1688-47ea-ac85-5fd68d617ea5,TRAM_KHI_TUONG_14_IMS,Trạm khí tượng 14 IMS,,38,t,2026-07-11 07:09:09.700174+00,2026-07-13 06:52:48.364064+00,e09ea1ad-7105-48b0-a310-ee6d46d4f484,,
d4ea888d-7cdb-4945-a48c-8567ace54d8e,APP_CRA,APP CRA,,0,t,2026-07-13 06:58:51.241689+00,2026-07-13 06:58:51.241689+00,818c5780-b1b6-4106-b60d-21c1ae6fa855,,
0da5dcf8-a9c7-4767-843e-91acd1e9f8a8,PHONG_THIET_BI_PLK,Phòng thiết bị PLK,,0,t,2026-07-13 07:01:26.802985+00,2026-07-13 07:01:26.802985+00,92c6b459-8433-4c92-87b6-f676710a6def,,
95edb759-48c4-4afe-983e-3e846c71c169,PHONG_NGUON_PLK,Phòng nguồn PLK,,0,t,2026-07-13 07:01:48.591746+00,2026-07-13 07:01:48.591746+00,92c6b459-8433-4c92-87b6-f676710a6def,,
ffd5b794-82b9-4fd3-9057-3579b9140d1d,TRAM_TRAN_MAY_14,Trạm trần mây 14 IMS,,41,t,2026-07-11 07:09:10.114204+00,2026-07-13 07:01:52.417243+00,e09ea1ad-7105-48b0-a310-ee6d46d4f484,,
66b78574-4d8b-4d58-8ca7-67b06ef335b2,TRAM_TRAN_MAY_32,Trạm trần mây 32 IMS,,37,t,2026-07-11 07:09:09.561779+00,2026-07-13 07:01:56.552387+00,e09ea1ad-7105-48b0-a310-ee6d46d4f484,,
96f5a894-2b9e-420d-a7d2-e749e94030e2,PHONG_NGUON_THO,Phòng nguồn THO,,0,t,2026-07-13 07:03:19.507957+00,2026-07-13 07:03:19.507957+00,f5682b06-a485-477b-b30c-d643869e15f9,,
c6b9108a-b830-42a6-b3b8-9e6dd5196202,VT_PCA_PHONG_THIET_BI,Phòng thiết bị PCA,Đơn vị PCA,18,t,2026-07-11 09:50:09.894644+00,2026-07-13 07:04:27.683369+00,79845fbe-3dd4-42f8-8219-07b7917684d8,,
ff3511ef-1568-4f81-9c59-21d71703e354,VT_PCA_TWR,TWR PCA,Đơn vị PCA,22,t,2026-07-11 09:50:09.894644+00,2026-07-13 07:04:38.067849+00,79845fbe-3dd4-42f8-8219-07b7917684d8,,
e96be350-6615-441a-91f5-53ad976e91b3,KHO_CONG_TY,Kho công ty,,0,t,2026-07-13 07:29:22.300303+00,2026-07-13 07:29:22.300303+00,,,
b2005fb3-0992-4eab-84ba-503bf1d5d583,KHO_PCA,Kho PCA,,0,t,2026-07-13 07:30:08.460653+00,2026-07-13 09:10:42.801601+00,79845fbe-3dd4-42f8-8219-07b7917684d8,,
