role,module,action,allowed,updated_at,updated_by
ktv,su_co,import,f,2026-07-14 08:18:51.879439+00,
readonly,su_co,import,f,2026-07-14 08:18:51.879439+00,
quan_ly_du_an,su_co,import,f,2026-07-14 08:18:51.879439+00,
to_truong,su_co,import,f,2026-07-14 08:18:51.879439+00,
admin,bao_tri,view,t,2026-07-14 08:18:51.879439+00,
phong_kt,bao_tri,view,t,2026-07-14 08:18:51.879439+00,
phu_trach_dv,bao_tri,view,t,2026-07-14 08:18:51.879439+00,
ktv,bao_tri,view,t,2026-07-14 08:18:51.879439+00,
readonly,bao_tri,view,t,2026-07-14 08:18:51.879439+00,
quan_ly_du_an,bao_tri,view,f,2026-07-14 08:18:51.879439+00,
to_truong,bao_tri,view,t,2026-07-14 08:18:51.879439+00,
admin,bao_tri,create,t,2026-07-14 08:18:51.879439+00,
phong_kt,bao_tri,create,t,2026-07-14 08:18:51.879439+00,
phu_trach_dv,bao_tri,create,t,2026-07-14 08:18:51.879439+00,
ktv,bao_tri,create,t,2026-07-14 08:18:51.879439+00,
readonly,bao_tri,create,f,2026-07-14 08:18:51.879439+00,
quan_ly_du_an,bao_tri,create,f,2026-07-14 08:18:51.879439+00,
to_truong,bao_tri,create,t,2026-07-14 08:18:51.879439+00,
admin,bao_tri,edit,t,2026-07-14 08:18:51.879439+00,
phong_kt,bao_tri,edit,t,2026-07-14 08:18:51.879439+00,
phu_trach_dv,bao_tri,edit,t,2026-07-14 08:18:51.879439+00,
ktv,bao_tri,edit,t,2026-07-14 08:18:51.879439+00,
readonly,bao_tri,edit,f,2026-07-14 08:18:51.879439+00,
quan_ly_du_an,bao_tri,edit,f,2026-07-14 08:18:51.879439+00,
to_truong,bao_tri,edit,t,2026-07-14 08:18:51.879439+00,
admin,bao_tri,delete,t,2026-07-14 08:18:51.879439+00,
phong_kt,bao_tri,delete,t,2026-07-14 08:18:51.879439+00,
phu_trach_dv,bao_tri,delete,f,2026-07-14 08:18:51.879439+00,
ktv,bao_tri,delete,f,2026-07-14 08:18:51.879439+00,
readonly,bao_tri,delete,f,2026-07-14 08:18:51.879439+00,
quan_ly_du_an,bao_tri,delete,f,2026-07-14 08:18:51.879439+00,
to_truong,bao_tri,delete,f,2026-07-14 08:18:51.879439+00,
admin,bao_tri,approve,t,2026-07-14 08:18:51.879439+00,
phong_kt,bao_tri,approve,t,2026-07-14 08:18:51.879439+00,
phu_trach_dv,bao_tri,approve,t,2026-07-14 08:18:51.879439+00,
ktv,bao_tri,approve,f,2026-07-14 08:18:51.879439+00,
readonly,bao_tri,approve,f,2026-07-14 08:18:51.879439+00,
quan_ly_du_an,bao_tri,approve,f,2026-07-14 08:18:51.879439+00,
